,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
133,13,2011-12,TBL,35.0,82.0,20.0,-26.0,2.0,0.0,0.0,0.0,11.0,2.0,0.0,3.3,168.0,3.3,168.0,18.23,118.0,199.0,26.0,43.0,clarkbr01,5.0,35.0,977.0,1211.0,44.7,-3.9,710.0,851.0,45.5,-4.0,8.4,88.9,97.4,46.2,53.8,1
134,14,2012-13,MIN,36.0,8.0,0.0,-9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,0.0,18.0,14.04,5.0,11.0,1.0,4.0,clarkbr01,6.0,36.0,92.0,102.0,47.4,-5.2,65.0,72.0,47.4,-8.6,4.2,78.8,83.0,69.0,31.0,1
146,12,2007-08,CAR,31.0,59.0,32.0,2.0,5.0,8.0,0.0,1.0,20.0,15.0,1.0,9.5,255.0,9.5,255.0,16.52,33.0,30.0,27.0,28.0,cullema01,1.0,31.0,648.0,627.0,50.8,-5.1,500.0,474.0,51.3,-5.1,9.8,91.4,101.0,51.6,48.4,1
147,13,2008-09,CAR,32.0,69.0,20.0,11.0,16.0,4.0,2.0,2.0,15.0,3.0,3.0,15.8,254.0,15.8,254.0,16.48,41.0,44.0,54.0,25.0,cullema01,2.0,32.0,845.0,853.0,49.8,-3.6,639.0,619.0,50.8,-3.2,8.1,93.3,101.0,51.0,49.0,1
148,14,2009-10,TOT,33.0,81.0,34.0,-7.0,12.0,2.0,2.0,2.0,21.0,10.0,1.0,8.2,368.0,8.2,368.0,18.45,70.0,48.0,53.0,35.0,cullema01,3.0,33.0,1001.0,953.0,51.2,1.4,731.0,717.0,50.5,2.0,9.2,89.7,99.0,49.8,50.2,1
151,17,2010-11,MIN,34.0,78.0,34.0,-14.0,3.0,5.0,4.0,2.0,11.0,16.0,0.0,8.0,287.0,8.0,287.0,18.02,39.0,36.0,43.0,34.0,cullema01,6.0,34.0,814.0,1040.0,43.9,-2.8,603.0,804.0,42.9,-3.7,7.6,91.8,99.4,42.1,57.9,1
152,18,2011-12,MIN,35.0,73.0,24.0,-10.0,10.0,4.0,0.0,0.0,16.0,5.0,0.0,8.5,267.0,8.5,267.0,18.56,46.0,39.0,37.0,31.0,cullema01,7.0,35.0,930.0,1025.0,47.6,3.3,690.0,760.0,47.6,2.3,7.2,91.1,98.3,43.9,56.1,1
153,19,2012-13,MIN,36.0,42.0,10.0,9.0,7.0,0.0,0.0,0.0,16.0,4.0,0.0,8.9,140.0,8.9,140.0,15.53,18.0,18.0,14.0,24.0,cullema01,8.0,36.0,464.0,500.0,48.1,-4.4,347.0,377.0,47.9,-5.9,12.6,91.8,104.0,43.4,56.6,1
154,20,2013-14,NSH,37.0,77.0,32.0,4.0,9.0,1.0,0.0,2.0,21.0,8.0,0.0,7.5,230.0,7.5,230.0,15.30,18.0,22.0,30.0,40.0,cullema01,9.0,37.0,920.0,897.0,50.6,2.3,691.0,679.0,50.4,1.4,9.0,90.7,99.7,48.0,52.0,1
155,21,2014-15,NSH,38.0,62.0,16.0,8.0,7.0,0.0,0.0,1.0,14.0,4.0,0.0,7.8,162.0,7.8,162.0,13.01,10.0,18.0,26.0,22.0,cullema01,10.0,38.0,704.0,625.0,53.0,-0.5,537.0,458.0,54.0,0.6,8.4,92.9,101.0,54.4,45.6,1
156,22,2015-16,PIT,39.0,82.0,20.0,5.0,13.0,0.0,3.0,4.0,13.0,0.0,3.0,13.6,183.0,13.6,183.0,13.53,40.0,41.0,19.0,20.0,cullema01,11.0,39.0,793.0,840.0,48.6,-5.4,601.0,617.0,49.3,-4.5,7.7,92.2,99.8,36.0,64.0,1
157,23,2016-17,PIT,40.0,23.0,10.0,-1.0,4.0,0.0,0.0,1.0,5.0,1.0,0.0,13.3,57.0,13.3,57.0,14.02,11.0,5.0,4.0,9.0,cullema01,12.0,40.0,257.0,242.0,51.5,-0.2,198.0,163.0,54.8,2.1,7.5,90.2,97.6,34.0,66.0,1
167,10,2007-08,TOR,29.0,62.0,24.0,-6.0,6.0,0.0,1.0,1.0,11.0,0.0,0.0,8.6,142.0,8.6,142.0,13.58,47.0,20.0,23.0,28.0,deverbo01,1.0,29.0,619.0,605.0,50.6,-0.3,483.0,461.0,51.2,0.0,7.7,89.6,97.3,47.3,52.7,1
168,11,2008-09,TOR,30.0,23.0,2.0,3.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,14.6,60.0,14.6,60.0,13.42,21.0,18.0,8.0,6.0,deverbo01,2.0,30.0,240.0,287.0,45.5,-5.7,184.0,200.0,47.9,-2.3,8.2,91.1,99.3,50.7,49.3,1
177,9,2007-08,NSH,29.0,80.0,34.0,5.0,22.0,7.0,0.0,8.0,34.0,9.0,0.0,15.1,336.0,15.1,336.0,18.30,44.0,11.0,47.0,54.0,dumonjp01,1.0,29.0,1090.0,1024.0,51.6,0.8,850.0,808.0,51.3,0.8,10.8,90.6,101.0,52.9,47.1,1
178,10,2008-09,NSH,30.0,82.0,20.0,1.0,11.0,5.0,0.0,4.0,32.0,17.0,0.0,9.1,318.0,9.1,318.0,17.30,33.0,13.0,39.0,66.0,dumonjp01,2.0,30.0,1082.0,1055.0,50.6,1.6,821.0,824.0,49.9,0.1,10.6,90.5,101.0,55.6,44.4,1
179,11,2009-10,NSH,31.0,74.0,20.0,8.0,13.0,3.0,1.0,3.0,18.0,10.0,0.0,15.2,196.0,15.2,196.0,14.46,20.0,19.0,33.0,34.0,dumonjp01,3.0,31.0,848.0,814.0,51.0,-2.6,631.0,615.0,50.6,-2.8,9.2,92.5,101.0,53.9,46.1,1
180,12,2010-11,NSH,32.0,70.0,16.0,2.0,9.0,1.0,0.0,2.0,6.0,3.0,0.0,11.2,148.0,11.2,148.0,11.11,45.0,8.0,35.0,23.0,dumonjp01,4.0,32.0,614.0,566.0,52.0,1.3,462.0,455.0,50.4,0.2,6.7,93.7,100.0,63.6,36.4,1
193,13,2010-11,ANA,33.0,12.0,6.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,10.01,11.0,1.0,3.0,0.0,greenjo01,1.0,33.0,95.0,99.0,49.0,-2.1,76.0,83.0,47.8,-2.2,1.9,93.3,95.3,56.5,43.5,1
194,14,2011-12,EDM,34.0,7.0,7.0,-6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.1,22.0,7.1,22.0,11.49,4.0,2.0,3.0,1.0,greenjo01,2.0,34.0,74.0,66.0,52.9,-3.6,52.0,58.0,47.3,-14.0,2.9,84.8,87.7,52.4,47.6,1
202,8,2007-08,STL,31.0,58.0,42.0,-3.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,11.9,63.0,11.9,63.0,10.31,114.0,18.0,9.0,3.0,hinotda01,1.0,31.0,282.0,449.0,38.6,-10.0,213.0,332.0,39.1,-10.0,7.3,93.0,100.0,45.0,55.0,1
