"","name","season","TOT","X.x","age.x","games_played","pen_min","plus_minus","goals_ev","goals_pp","goals_sh","goals_gw","assists_ev","assists_pp","assists_sh","shot_pct","shots_attempted","shot_pct.1","shots_attempted.1","time_on_ice_avg","hits","blocks","takeaways","giveaways","X.y","age.y","corsi_for","corsi_against","corsi_pct","corsi_rel_pct","fenwick_for","fenwick_against","fenwick_pct","fenwick_rel_pct","on_ice_shot_pct","on_ice_sv_pct","pdo","zs_offense_pct","zs_defense_pct"
"75","cullema01","2005-06","NSH",10,38,78,40,"4",17,8,0,5,13,10,1,"11.7",NA,"11.7",NA,"16:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","cullema01","2006-07","PIT",11,39,80,52,"0",11,2,3,2,18,5,2,"7.4",NA,"7.4",NA,"17:10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77","cullema01","2007-08","PIT",12,40,59,32,"2",5,8,0,1,20,15,1,"9.5",255,"9.5",255,"16:52",33,30,27,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","deverbo01","1997-98","TOR",1,29,38,6,"-5",1,0,0,0,4,0,0,"3.7",NA,"3.7",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","deverbo01","1998-99","TOR",2,30,61,23,"2",5,0,1,4,8,0,0,"15.4",NA,"15.4",NA,"10:09",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","dumonjp01","1998-99","NSH",1,29,25,10,"7",9,0,0,2,5,1,0,"21.4",NA,"21.4",NA,"14:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","dumonjp01","1999-00","NSH",2,30,47,18,"-6",10,0,0,1,8,0,0,"11.6",NA,"11.6",NA,"12:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","dumonjp01","2000-01","NSH",3,31,79,54,"1",14,9,0,5,23,5,0,"14.7",NA,"14.7",NA,"15:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"83","dumonjp01","2001-02","NSH",4,32,76,42,"-10",16,7,0,3,15,6,0,"14.9",NA,"14.9",NA,"15:14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","greenjo01","1998-99","ANA",1,33,27,8,"-5",0,1,0,0,3,0,0,"2.9",NA,"2.9",NA,"11:44",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85","greenjo01","1999-00","EDM",2,34,49,41,"-7",10,2,0,3,9,5,0,"11.0",NA,"11.0",NA,"13:36",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
